,,,Split 1,,,,Split 2,,,,Split 3,,,
ID,SMILES,Expr,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set
131,O=P(c1ccccc1)(c1ccccc1)SC(c1ccccc1)c1ccccc1,4.34,45.51741,4.2692,0.0708,Tr,36.88455,4.4872,-0.1472,Ca,41.10061,4.2368,0.1032,ST
132,CCCSP(=O)(OCC)C,2.72,40.15019,2.8447,-0.1247,Te,32.02741,3.1432,-0.4232,Te,36.94766,2.9725,-0.2525,Te
133,CCCCCCSP(=O)(OCC)C,4.41,41.74252,3.2673,1.1427,Va,33.6372,3.5886,0.8214,Va,38.5346,3.4556,0.9544,Va
134,CCS/C=C/C=C/SP(=O)(OCC)C,6.75,55.94387,7.0363,-0.2863,Va,45.32591,6.8231,-0.0731,Va,48.88202,6.6057,0.1443,Va
135,CCSCCSP(=O)(OCC)C,4.93,46.49623,4.5289,0.4011,Va,37.15468,4.562,0.368,Va,41.54492,4.3721,0.5579,Va
136,CCOP(=O)(SCC[S+](CC)C)C,7.57,58.34788,7.6743,-0.1043,Tr,48.52426,7.7081,-0.1381,ST,52.35979,7.6645,-0.0945,Ca
137,CC[S+](CCSP(=O)(CC)C)C,4.69,53.14382,6.2932,-1.6032,Tr,43.0701,6.1988,-1.5088,Ca,48.39186,6.4565,-1.7665,ST
138,CCS/C=C/C=C/SP(=O)(CC)C,6.32,53.49047,6.3852,-0.0652,Tr,43.42069,6.2959,0.0241,Ca,47.79239,6.274,0.046,ST
139,CCOP(=O)(SC(c1ccccc1)c1ccccc1)C,5.69,49.23871,5.2568,0.4332,Tr,40.60395,5.5164,0.1736,Ca,44.9936,5.422,0.268,ST
140,CCOP(=O)(c1ccccc1)SC(c1ccccc1)c1ccccc1,4.44,48.46526,5.0515,-0.6115,Tr,39.76442,5.2841,-0.8441,ST,44.87395,5.3855,-0.9455,Ca
141,CSP(=O)(OC(C)C)OC(C)C,1.77,38.54605,2.419,-0.649,Tr,29.79148,2.5245,-0.7545,Ca,34.22373,2.1433,-0.3733,ST
142,CCOP(=O)(c1ccccc1)SC,2.46,40.83899,3.0275,-0.5675,Va,32.46838,3.2652,-0.8052,Va,37.99513,3.2914,-0.8314,Va
143,CCOP(=O)(c1ccccc1)SCC,2.58,41.96253,3.3257,-0.7457,Va,33.47816,3.5446,-0.9646,Va,39.21187,3.6618,-1.0818,Va
144,CCCSP(=O)(c1ccccc1)OCC,2.41,40.33611,2.8941,-0.4841,Tr,31.90542,3.1094,-0.6994,Ca,37.02344,2.9956,-0.5856,ST
